id_carrera,area_conocimiento,subarea,nombre_carrera
1,Administración y Comercio,Santiago,Administración Pública
2,Administración y Comercio,Santiago,Contador Auditor
3,Administración y Comercio,Santiago,Ingeniería Comercial
4,Administración y Comercio,Santiago,Ingeniería en Información y Control de Gestión
5,"Agricultura, Silvicultura, Pesca y Veterinaria",La Pintana,Ingeniería Agronómica
6,"Agricultura, Silvicultura, Pesca y Veterinaria",La Pintana,Ingeniería Forestal
7,"Agricultura, Silvicultura, Pesca y Veterinaria",La Pintana,Medicina Veterinaria
8,Arte y Arquitectura,Santiago,Actuación Teatral
9,Arte y Arquitectura,Santiago,Diseño Teatral
10,Arte y Arquitectura,Santiago,Arquitectura
11,Arte y Arquitectura,Ñuñoa,Licenciatura en Artes mención en Artes Visuales
12,Arte y Arquitectura,Ñuñoa,Teoría e Historia del Arte
13,Arte y Arquitectura,Ñuñoa,Cine y Televisión
14,Arte y Arquitectura,Santiago,"Composición, Licenciatura en Artes con mención (P.E.)"
15,Arte y Arquitectura,Ñuñoa,Etapa Básica de la Licenciatura en Artes (P.E.)
16,Arte y Arquitectura,Santiago,Interpretación Musical
17,Arte y Arquitectura,Santiago,Danza
18,Arte y Arquitectura,Santiago,Diseño
19,Ciencias,Ñuñoa,Programa Académico de Bachillerato
20,Ciencias,Ñuñoa,Biología con mención en Medio Ambiente
21,Ciencias,Ñuñoa,Licenciatura en Ciencias con mención en Biología
22,Ciencias,Santiago,Bioquímica
23,Ciencias,Santiago,Licenciatura en Ciencias
24,Ciencias,Ñuñoa,Licenciatura en Ciencias con mención en Física
25,Ciencias,Santiago,Geología
26,Ciencias,Ñuñoa,Licenciatura en Ciencias con mención en Matemáticas
27,Ciencias,Ñuñoa,Licenciatura en Ciencias con mención en Química
28,Ciencias,Santiago,Química
29,Ciencias,Ñuñoa,Química Ambiental
30,Ciencias Sociales,Ñuñoa,Antropología - Arqueología
31,Ciencias Sociales,Santiago,Ciencia Política
32,Ciencias Sociales,Ñuñoa,Estudios Internacionales
33,Ciencias Sociales,Ñuñoa,Periodismo
34,Ciencias Sociales,Ñuñoa,Psicología
35,Ciencias Sociales,Ñuñoa,Sociología
36,Ciencias Sociales,Ñuñoa,Trabajo Social
37,Derecho,Santiago,Derecho
38,Educación,Ñuñoa,Pedagogía en Educación Parvularia
39,Educación,Ñuñoa,Pedagogía en Educación Básica
40,Educación,Ñuñoa,Pedagogía en Educación Media en Biología y Química
41,Educación,Ñuñoa,Pedagogía en Educación Media en Matemática y Física
42,Educación,Santiago,Teoría de la Música
43,Educación,Ñuñoa,Pedagogía en Educación Media en Asignaturas Científico-Humanistas (P.E.)
44,Humanidades,Ñuñoa,Licenciatura en Filosofía
45,Humanidades,Santiago,Geografía
46,Humanidades,Ñuñoa,Licenciatura en Historia
47,Humanidades,Ñuñoa,Licenciatura en Lingüística y Literatura
48,Humanidades,Ñuñoa,Licenciatura en Lingüística y Literatura Inglesas
49,Salud,Santiago,Enfermería
