id_institucion,tipo_institucion,dependencia,nombre_institucion
1,Univ.,(a) Universidades CRUCH,U. DE CHILE
2,Univ.,(a) Universidades CRUCH,PONTIFICIA U. CATÓLICA DE CHILE
3,Univ.,(a) Universidades CRUCH,U. DE CONCEPCIÓN
4,Univ.,(a) Universidades CRUCH,PONTIFICIA U. CATÓLICA DE VALPARAÍSO
5,Univ.,(a) Universidades CRUCH,U. TÉCNICA FEDERICO SANTA MARÍA
6,Univ.,(a) Universidades CRUCH,U. DE SANTIAGO DE CHILE
7,Univ.,(a) Universidades CRUCH,U. AUSTRAL DE CHILE
8,Univ.,(a) Universidades CRUCH,U. CATÓLICA DEL NORTE
9,Univ.,(a) Universidades CRUCH,U. DE LA SERENA
10,Univ.,(a) Universidades CRUCH,U. DE ATACAMA
11,Univ.,(a) Universidades CRUCH,U. DE VALPARAÍSO
12,Univ.,(a) Universidades CRUCH,U. DE ANTOFAGASTA
13,Univ.,(a) Universidades CRUCH,U. DE LA FRONTERA
14,Univ.,(a) Universidades CRUCH,U. DE MAGALLANES
15,Univ.,(a) Universidades CRUCH,U. DE TALCA
16,Univ.,(b) Universidades Privadas,U. GABRIELA MISTRAL
17,Univ.,(a) Universidades CRUCH,U. DIEGO PORTALES
18,Univ.,(b) Universidades Privadas,U. CENTRAL DE CHILE
19,Univ.,(a) Universidades CRUCH,U. DE TARAPACÁ
20,Univ.,(a) Universidades CRUCH,U. ARTURO PRAT
21,Univ.,(a) Universidades CRUCH,U. METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN
22,Univ.,(a) Universidades CRUCH,U. DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN
23,Univ.,(b) Universidades Privadas,U. FINIS TERRAE
24,Univ.,(b) Universidades Privadas,U. MAYOR
25,Univ.,(b) Universidades Privadas,U. ACADEMIA DE HUMANISMO CRISTIANO
26,Univ.,(b) Universidades Privadas,U. BOLIVARIANA
27,Univ.,(a) Universidades CRUCH,U. DEL BÍO-BÍO
28,Univ.,(b) Universidades Privadas,U. DE LAS AMÉRICAS
29,Univ.,(b) Universidades Privadas,U. ADOLFO IBÁÑEZ
30,Univ.,(b) Universidades Privadas,U. ANDRÉS BELLO
31,Univ.,(b) Universidades Privadas,U. ADVENTISTA DE CHILE
32,Univ.,(b) Universidades Privadas,U. DEL DESARROLLO
33,Univ.,(b) Universidades Privadas,U. SAN SEBASTIÁN
34,Univ.,(b) Universidades Privadas,U. AUTÓNOMA DE CHILE
35,Univ.,(b) Universidades Privadas,U. DE ACONCAGUA
36,Univ.,(a) Universidades CRUCH,U. DE LOS ANDES
37,Univ.,(b) Universidades Privadas,U. BERNARDO O`HIGGINS
38,Univ.,(b) Universidades Privadas,U. CATÓLICA CARDENAL RAÚL SILVA HENRÍQUEZ
39,Univ.,(b) Universidades Privadas,U. DE VIÑA DEL MAR
40,Univ.,(b) Universidades Privadas,U. DEL ALBA
41,Univ.,(b) Universidades Privadas,U. SANTO TOMÁS
42,Univ.,(b) Universidades Privadas,U. SEK
43,Univ.,(b) Universidades Privadas,"U. DE ARTES, CIENCIAS Y COMUNICACIÓN UNIACC"
44,Univ.,(a) Universidades CRUCH,U. CATÓLICA DEL MAULE
45,Univ.,(a) Universidades CRUCH,U. CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN
46,Univ.,(b) Universidades Privadas,U. TECNOLÓGICA DE CHILE INACAP
47,Univ.,(a) Universidades CRUCH,U. CATÓLICA DE TEMUCO
48,Univ.,(a) Universidades CRUCH,U. TECNOLÓGICA METROPOLITANA
49,Univ.,(a) Universidades CRUCH,U. DE LOS LAGOS
50,Univ.,(a) Universidades CRUCH,U. ALBERTO HURTADO
51,Univ.,(b) Universidades Privadas,U. MIGUEL DE CERVANTES
52,Univ.,(a) Universidades CRUCH,U. DE AYSEN
53,Univ.,(a) Universidades CRUCH,U. DE O`HIGGINS
54,I.P.,(c) Institutos Profesionales,I.P. AGRARIO ADOLFO MATTHEI
55,I.P.,(c) Institutos Profesionales,I.P. INACAP
56,I.P.,(c) Institutos Profesionales,I.P. ESC. DE CONTADORES AUDITORES DE STGO.
57,I.P.,(c) Institutos Profesionales,I.P. DE ARTES Y COMUNICACIÓN ARCOS
58,I.P.,(c) Institutos Profesionales,I.P. GUILLERMO SUBERCASEAUX
59,I.P.,(c) Institutos Profesionales,I.P. LIBERTADOR DE LOS ANDES
60,I.P.,(c) Institutos Profesionales,I.P. CHILENO BRITÁNICO
61,I.P.,(c) Institutos Profesionales,I.P. PROVIDENCIA
62,I.P.,(c) Institutos Profesionales,I.P. DUOC UC
63,I.P.,(c) Institutos Profesionales,I.P. IPEGE
64,I.P.,(c) Institutos Profesionales,I.P. ESCUELA MODERNA DE MÚSICA
65,I.P.,(c) Institutos Profesionales,I.P. IACC
66,I.P.,(c) Institutos Profesionales,I.P. SANTO TOMÁS
67,I.P.,(c) Institutos Profesionales,I.P. DIEGO PORTALES
68,I.P.,(c) Institutos Profesionales,I.P. DEL VALLE CENTRAL
69,I.P.,(c) Institutos Profesionales,I.P. VIRGINIO GÓMEZ
70,I.P.,(c) Institutos Profesionales,I.P. SAN SEBASTIÁN
71,I.P.,(c) Institutos Profesionales,I.P. LOS LEONES
72,I.P.,(c) Institutos Profesionales,I.P. AIEP
73,I.P.,(c) Institutos Profesionales,I.P. EATRI
74,I.P.,(c) Institutos Profesionales,I.P. INSTITUTO NACIONAL DEL FÚTBOL
75,I.P.,(c) Institutos Profesionales,I.P. DE CHILE
76,I.P.,(c) Institutos Profesionales,I.P. ESCUELA DE COMERCIO DE SANTIAGO
77,I.P.,(c) Institutos Profesionales,I.P. LATINOAMERICANO DE COMERCIO EXTERIOR
78,I.P.,(c) Institutos Profesionales,I.P. PROJAZZ
79,I.P.,(c) Institutos Profesionales,I.P. INTERNACIONAL DE ARTES CULINARIAS Y SERVICIOS
80,I.P.,(c) Institutos Profesionales,I.P. ESCUELA DE CINE DE CHILE
81,I.P.,(c) Institutos Profesionales,I.P. ESCUELA DE MARINA MERCANTE PILOTO PARDO
82,I.P.,(c) Institutos Profesionales,I.P. CICERON
83,C.F.T.,(d) Centros de Formación Técnica,C.F.T. CENTRO TECNOLÓGICO SUPERIOR INFOMED
84,C.F.T.,(d) Centros de Formación Técnica,C.F.T. ENAC
85,C.F.T.,(d) Centros de Formación Técnica,C.F.T. SANTO TOMÁS
86,C.F.T.,(d) Centros de Formación Técnica,C.F.T. INACAP
87,C.F.T.,(d) Centros de Formación Técnica,C.F.T. IPROSEC
88,C.F.T.,(d) Centros de Formación Técnica,C.F.T. ESCUELA DE COMERCIO
89,C.F.T.,(d) Centros de Formación Técnica,C.F.T. DE EST. SUP.Y CAPACITACIÓN PROFESIONAL LAPLACE
90,C.F.T.,(d) Centros de Formación Técnica,C.F.T. CEDUC - UCN
91,C.F.T.,(d) Centros de Formación Técnica,C.F.T.  ASISTE
92,C.F.T.,(d) Centros de Formación Técnica,C.F.T. PUCV
93,C.F.T.,(d) Centros de Formación Técnica,C.F.T. ALPES
94,C.F.T.,(d) Centros de Formación Técnica,C.F.T. CENCO
95,C.F.T.,(d) Centros de Formación Técnica,C.F.T. DEL MEDIO AMBIENTE
96,C.F.T.,(d) Centros de Formación Técnica,C.F.T.  ICCE
97,C.F.T.,(d) Centros de Formación Técnica,C.F.T. LOTA-ARAUCO
98,C.F.T.,(d) Centros de Formación Técnica,C.F.T. SAN AGUSTÍN DE TALCA
99,C.F.T.,(d) Centros de Formación Técnica,C.F.T. JUAN BOHON
100,C.F.T.,(d) Centros de Formación Técnica,C.F.T. TEODORO WICKEL
101,C.F.T.,(d) Centros de Formación Técnica,C.F.T. INSTITUTO SUPERIOR ALEMÁN DE COMERCIO INSALCO
102,C.F.T.,(d) Centros de Formación Técnica,C.F.T. MANPOWER
103,C.F.T.,(d) Centros de Formación Técnica,C.F.T. ESCUELA CULINARIA FRANCESA
104,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DEL MAULE
105,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DE LA ARAUCANÍA
106,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DE LOS LAGOS
107,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DE COQUIMBO
108,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DE TARAPACÁ
109,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DE LOS RÍOS
110,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DE VALPARAÍSO
111,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL  METROPOLITANO
112,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DE MAGALLANES
113,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DE ARICA Y PARINACOTA
114,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DE ANTOFAGASTA
115,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DE ATACAMA
116,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DE O HIGGINS
117,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DEL BÍO BÍO
118,C.F.T.,(e) Centros de Formación Técnica Estatales,C.F.T. ESTATAL DE AYSÉN
119,C.F.T.,(d) Centros de Formación Técnica,C.F.T.  ACADEMIA CHILENA DE YOGA
120,F.F.A.A.,(f) F.F.A.A.,ACADEMIA NAC. EST. POLÍTICOS Y ESTRATÉGICOS ANEPE
121,F.F.A.A.,(f) F.F.A.A.,ESCUELA MILITAR DEL GENERAL BERNARDO O'HIGGINS
122,F.F.A.A.,(f) F.F.A.A.,ESCUELA NAVAL ARTURO PRAT
123,F.F.A.A.,(f) F.F.A.A.,ESC. DE GRUMETES ALEJANDRO NAVARRETE CISTERNA
124,F.F.A.A.,(f) F.F.A.A.,ESCUELA DE AVIACIÓN
125,F.F.A.A.,(f) F.F.A.A.,ACADEMIA POLITÉCNICA AERONÁUTICA
126,F.F.A.A.,(f) F.F.A.A.,ESC. DE ESPECIALIDADES SGTO 1º ADOLFO MENADIER ROJAS
127,F.F.A.A.,(f) F.F.A.A.,ACADEMIA DE CIENCIAS POLICIALES DE CARABINEROS DE CHILE
128,Univ.,(b) Universidades Privadas,U. LA REPÚBLICA
129,Univ.,(b) Universidades Privadas,U. LOS LEONES
130,I.P.,(c) Institutos Profesionales,I.P. DE LOS LAGOS
131,I.P.,(c) Institutos Profesionales,I.P. ESUCOMEX
132,C.F.T.,(d) Centros de Formación Técnica,C.F.T. LOS LAGOS
133,F.F.A.A.,(f) F.F.A.A.,ACADEMIA POLITÉCNICA NAVAL
134,F.F.A.A.,(f) F.F.A.A.,ESCUELA DE INVESTIGACIONES POLICIALES
135,I.P.,(c) Institutos Profesionales,I.P. CS. DE LA COMPUTACIÓN ACUARIO DATA
136,C.F.T.,(d) Centros de Formación Técnica,C.F.T. DE TARAPACÁ
137,C.F.T.,(d) Centros de Formación Técnica,C.F.T. PRODATA
138,F.F.A.A.,(f) F.F.A.A.,ESCUELA TÉCNICA AERONAUTICA
139,I.P.,(c) Institutos Profesionales,I.P. DE ARTES ESCENICAS KAREN CONNOLLY
140,C.F.T.,(d) Centros de Formación Técnica,C.F.T. EDUCAP
141,C.F.T.,(d) Centros de Formación Técnica,C.F.T. CEITEC
142,C.F.T.,(d) Centros de Formación Técnica,C.F.T. DE LA INDUSTRIA GRÁFICA O C.F.T.  INGRAF
143,C.F.T.,(d) Centros de Formación Técnica,C.F.T. MASSACHUSETTS
144,C.F.T.,(d) Centros de Formación Técnica,C.F.T. PROFASOC
145,I.P.,(c) Institutos Profesionales,I.P. DE LOS ANGELES
146,I.P.,(c) Institutos Profesionales,I.P. HELEN KELLER
147,I.P.,(c) Institutos Profesionales,I.P. VERTICAL
148,C.F.T.,(d) Centros de Formación Técnica,C.F.T. ICEL
149,C.F.T.,(d) Centros de Formación Técnica,C.F.T. U. VALPO.
150,Univ.,(b) Universidades Privadas,U. DE LOS ANDES
151,I.P.,(c) Institutos Profesionales,I.P. LA ARAUCANA
152,I.P.,(c) Institutos Profesionales,I.P. CARLOS CASANUEVA
153,C.F.T.,(d) Centros de Formación Técnica,C.F.T. ANDRÉS BELLO
154,C.F.T.,(d) Centros de Formación Técnica,C.F.T. ESTUDIO PROFESOR VALERO
155,C.F.T.,(d) Centros de Formación Técnica,C.F.T. INSTITUTO TECNOLÓGICO DE CHILE
156,C.F.T.,(d) Centros de Formación Técnica,C.F.T. CENTRO DE ENS. ALTA COSTURA PAULINA DIARD
157,C.F.T.,(d) Centros de Formación Técnica,C.F.T. PROANDES
158,C.F.T.,(d) Centros de Formación Técnica,C.F.T. ESANE DEL NORTE
159,C.F.T.,(d) Centros de Formación Técnica,C.F.T. ALFA
160,Univ.,(b) Universidades Privadas,U. DIEGO PORTALES
161,Univ.,(b) Universidades Privadas,U. DEL PACÍFICO
162,Univ.,(b) Universidades Privadas,U. IBEROAMERICANA DE CIENCIAS Y TECNOLOGÍA
