id_nivel_educacional,nivel_educacional
1,Total Comuna
2,Nunca asistió
3,Preescolar
4,Especial o Diferencial
5,Total Educación Básica
6,Educación Básica
7,Total Primaria o Preparatoria
8,Primaria o Preparatoria
9,Total Científico - Humanista
10,Científico - Humanista
11,Total Técnica Profesional
12,Técnica Profesional
13,Total Humanidades
14,Humanidades
15,"Total Técnica Comercial, Industrial/Normalista"
16,"Técnica Comercial, Industrial/Normalista"
17,Total Técnico Superior
18,Técnico Superior
19,Total Profesional
20,Profesional
21,Total Magíster
22,Magíster
23,Total Doctorado
24,Doctorado
25,Nivel Ignorado
