id_ubicacion,nombre_region,nombre_provincia,nombre_comuna
1,ARICA Y PARINACOTA,ARICA,ARICA
2,ARICA Y PARINACOTA,ARICA,CAMARONES
3,ARICA Y PARINACOTA,PARINACOTA,PUTRE
4,ARICA Y PARINACOTA,PARINACOTA,GENERAL LAGOS
5,TARAPACÁ,IQUIQUE,IQUIQUE
6,TARAPACÁ,IQUIQUE,ALTO HOSPICIO
7,TARAPACÁ,DEL TAMARUGAL,POZO ALMONTE
8,TARAPACÁ,DEL TAMARUGAL,CAMIÑA
9,TARAPACÁ,DEL TAMARUGAL,COLCHANE
10,TARAPACÁ,DEL TAMARUGAL,HUARA
11,TARAPACÁ,DEL TAMARUGAL,PICA
12,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA
13,ANTOFAGASTA,ANTOFAGASTA,MEJILLONES
14,ANTOFAGASTA,ANTOFAGASTA,SIERRA GORDA
15,ANTOFAGASTA,ANTOFAGASTA,TALTAL
16,ANTOFAGASTA,EL LOA,CALAMA
17,ANTOFAGASTA,EL LOA,OLLAGÜE
18,ANTOFAGASTA,EL LOA,SAN PEDRO DE ATACAMA
19,ANTOFAGASTA,TOCOPILLA,TOCOPILLA
20,ANTOFAGASTA,TOCOPILLA,MARÍA ELENA
21,ATACAMA,COPIAPÓ,COPIAPÓ
22,ATACAMA,COPIAPÓ,CALDERA
23,ATACAMA,COPIAPÓ,TIERRA AMARILLA
24,ATACAMA,CHAÑARAL,CHAÑARAL
25,ATACAMA,CHAÑARAL,DIEGO DE ALMAGRO
26,ATACAMA,HUASCO,VALLENAR
27,ATACAMA,HUASCO,ALTO DEL CARMEN
28,ATACAMA,HUASCO,FREIRINA
29,ATACAMA,HUASCO,HUASCO
30,COQUIMBO,ELQUI,LA SERENA
31,COQUIMBO,ELQUI,COQUIMBO
32,COQUIMBO,ELQUI,ANDACOLLO
33,COQUIMBO,ELQUI,LA HIGUERA
34,COQUIMBO,ELQUI,PAIGUANO
35,COQUIMBO,ELQUI,VICUÑA
36,COQUIMBO,CHOAPA,ILLAPEL
